Match,Team,Start Time,Outlier Book,Outlier Odds,Z Score
Hiroshima Toyo Carp @ Chunichi Dragons,Hiroshima Toyo Carp,2025-07-13 00:31:00,Betsson,9.5,2.85
Sydney Swans @ St Kilda Saints,Sydney Swans,2025-07-13 01:15:00,Tabtouch,1.1,8.84
Sydney Swans @ St Kilda Saints,Draw,2025-07-13 01:15:00,Nordic Bet,19.86,4.48
